lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi CCSM4 r3i1p1 pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -122.5000    	    37.22513    	    5.500000    	    2.240189    
   -121.2500    	    37.22513    	    5.500000    	    2.627673    
   -120.0000    	    37.22513    	    5.500000    	    2.429327    
   -122.5000    	    38.16754    	    5.500000    	    1.716032    
   -121.2500    	    38.16754    	    5.500000    	    1.390440    
   -120.0000    	    38.16754    	    5.500000    	  -0.1541123    
   -122.5000    	    39.10995    	    5.500000    	    1.040590    
   -121.2500    	    39.10995    	    5.500000    	  -0.2788765    
   -120.0000    	    39.10995    	    5.500000    	  -0.4403287    
   -122.5000    	    40.05236    	    5.500000    	   0.3011187    
   -121.2500    	    40.05236    	    5.500000    	   -1.048392    
   -120.0000    	    40.05236    	    5.500000    	   -1.245770    
   -122.5000    	    40.99477    	    5.500000    	  -0.8158593    
   -121.2500    	    40.99477    	    5.500000    	   -1.378379    
   -120.0000    	    40.99477    	    5.500000    	   -1.391618    
   -122.5000    	    41.93717    	    5.500000    	  -0.8308658    
   -121.2500    	    41.93717    	    5.500000    	   -1.402811    
   -120.0000    	    41.93717    	    5.500000    	   -1.187508    
   -122.5000    	    42.87958    	    5.500000    	   0.5977731    
   -121.2500    	    42.87958    	    5.500000    	   0.4722126    
   -120.0000    	    42.87958    	    5.500000    	   0.6696175    
   -122.5000    	    37.22513    	    6.500000    	  -0.3572757    
   -121.2500    	    37.22513    	    6.500000    	    2.163047    
   -120.0000    	    37.22513    	    6.500000    	    2.054705    
   -122.5000    	    38.16754    	    6.500000    	    1.312671    
   -121.2500    	    38.16754    	    6.500000    	   0.9993699    
   -120.0000    	    38.16754    	    6.500000    	  -0.5174255    
   -122.5000    	    39.10995    	    6.500000    	   0.7721567    
   -121.2500    	    39.10995    	    6.500000    	  -0.6680573    
   -120.0000    	    39.10995    	    6.500000    	  -0.9427781    
