lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi CCSM4 r5i1p1 pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -122.5000    	    37.22513    	    5.500000    	    3.528520    
   -121.2500    	    37.22513    	    5.500000    	    3.348249    
   -120.0000    	    37.22513    	    5.500000    	    2.891753    
   -122.5000    	    38.16754    	    5.500000    	    2.957880    
   -121.2500    	    38.16754    	    5.500000    	    2.980561    
   -120.0000    	    38.16754    	    5.500000    	    2.732871    
   -122.5000    	    39.10995    	    5.500000    	    2.530977    
   -121.2500    	    39.10995    	    5.500000    	    2.631389    
   -120.0000    	    39.10995    	    5.500000    	    2.879122    
   -122.5000    	    40.05236    	    5.500000    	    2.237764    
   -121.2500    	    40.05236    	    5.500000    	    2.628488    
   -120.0000    	    40.05236    	    5.500000    	    2.407250    
   -122.5000    	    40.99477    	    5.500000    	    2.195850    
   -121.2500    	    40.99477    	    5.500000    	    2.245839    
   -120.0000    	    40.99477    	    5.500000    	    2.003558    
   -122.5000    	    41.93717    	    5.500000    	    2.191362    
   -121.2500    	    41.93717    	    5.500000    	    2.000665    
   -120.0000    	    41.93717    	    5.500000    	    2.046393    
   -122.5000    	    42.87958    	    5.500000    	    1.900222    
   -121.2500    	    42.87958    	    5.500000    	    2.074917    
   -120.0000    	    42.87958    	    5.500000    	    1.942145    
   -122.5000    	    37.22513    	    6.500000    	    3.398358    
   -121.2500    	    37.22513    	    6.500000    	    3.535835    
   -120.0000    	    37.22513    	    6.500000    	    2.692808    
   -122.5000    	    38.16754    	    6.500000    	    2.788899    
   -121.2500    	    38.16754    	    6.500000    	    2.830673    
   -120.0000    	    38.16754    	    6.500000    	   2.1624023E-02
   -122.5000    	    39.10995    	    6.500000    	    2.195747    
   -121.2500    	    39.10995    	    6.500000    	    2.259221    
   -120.0000    	    39.10995    	    6.500000    	    3.015194    
   -122.5000    	    40.05236    	    6.500000    	    1.821693    
   -121.2500    	    40.05236    	    6.500000    	    2.609734    
   -120.0000    	    40.05236    	    6.500000    	    2.536636    
   -122.5000    	    40.99477    	    6.500000    	    1.923971    
   -121.2500    	    40.99477    	    6.500000    	    2.185435    
   -120.0000    	    40.99477    	    6.500000    	    1.868962    
   -122.5000    	    41.93717    	    6.500000    	    2.164816    
   -121.2500    	    41.93717    	    6.500000    	    1.916478    
   -120.0000    	    41.93717    	    6.500000    	    1.821348    
   -122.5000    	    42.87958    	    6.500000    	    1.749673    
   -121.2500    	    42.87958    	    6.500000    	    1.854814    
   -120.0000    	    42.87958    	    6.500000    	    1.518447    
   -122.5000    	    37.22513    	    7.500000    	    3.116767    
   -121.2500    	    37.22513    	    7.500000    	    3.247721    
   -120.0000    	    37.22513    	    7.500000    	  -1.6613316E-02
   -122.5000    	    38.16754    	    7.500000    	    2.565661    
   -121.2500    	    38.16754    	    7.500000    	    2.597466    
   -120.0000    	    38.16754    	    7.500000    	  -4.6266731E-02
   -122.5000    	    39.10995    	    7.500000    	    2.160385    
   -121.2500    	    39.10995    	    7.500000    	    2.274063    
   -120.0000    	    39.10995    	    7.500000    	    2.760521    
   -122.5000    	    40.05236    	    7.500000    	    2.115312    
   -121.2500    	    40.05236    	    7.500000    	    3.143429    
   -120.0000    	    40.05236    	    7.500000    	    2.588018    
   -122.5000    	    40.99477    	    7.500000    	    2.454110    
   -121.2500    	    40.99477    	    7.500000    	    2.707600    
   -120.0000    	    40.99477    	    7.500000    	    2.066234    
   -122.5000    	    41.93717    	    7.500000    	    2.434749    
   -121.2500    	    41.93717    	    7.500000    	    2.374579    
   -120.0000    	    41.93717    	    7.500000    	    2.144207    
   -122.5000    	    42.87958    	    7.500000    	    1.881184    
   -121.2500    	    42.87958    	    7.500000    	    2.127761    
   -120.0000    	    42.87958    	    7.500000    	    1.736884    
   -122.5000    	    37.22513    	    17.50000    	   -1.856575    
   -121.2500    	    37.22513    	    17.50000    	   -1.996918    
   -120.0000    	    37.22513    	    17.50000    	   -2.201504    
   -122.5000    	    38.16754    	    17.50000    	  -0.9683763    
   -121.2500    	    38.16754    	    17.50000    	   -1.559079    
   -120.0000    	    38.16754    	    17.50000    	   -2.054364    
   -122.5000    	    39.10995    	    17.50000    	   0.4961534    
   -121.2500    	    39.10995    	    17.50000    	   -1.294274    
   -120.0000    	    39.10995    	    17.50000    	   -1.796223    
   -122.5000    	    40.05236    	    17.50000    	    1.295047    
   -121.2500    	    40.05236    	    17.50000    	   -1.079497    
   -120.0000    	    40.05236    	    17.50000    	   -1.732900    
   -122.5000    	    40.99477    	    17.50000    	    1.607106    
   -121.2500    	    40.99477    	    17.50000    	   0.3361259    
   -120.0000    	    40.99477    	    17.50000    	   -1.604190    
   -122.5000    	    41.93717    	    17.50000    	    2.282897    
   -121.2500    	    41.93717    	    17.50000    	   0.7446035    
   -120.0000    	    41.93717    	    17.50000    	   -1.094588    
   -122.5000    	    42.87958    	    17.50000    	    2.575195    
   -121.2500    	    42.87958    	    17.50000    	    2.284007    
   -120.0000    	    42.87958    	    17.50000    	   0.7089012    
   -122.5000    	    37.22513    	    18.50000    	   -1.758217    
   -121.2500    	    37.22513    	    18.50000    	   -1.875063    
   -120.0000    	    37.22513    	    18.50000    	   -2.175929    
   -122.5000    	    38.16754    	    18.50000    	  -0.7428057    
   -121.2500    	    38.16754    	    18.50000    	   -1.457483    
   -120.0000    	    38.16754    	    18.50000    	   -2.163954    
   -122.5000    	    39.10995    	    18.50000    	   0.7053913    
   -121.2500    	    39.10995    	    18.50000    	   -1.206623    
   -120.0000    	    39.10995    	    18.50000    	   -1.876770    
   -122.5000    	    40.05236    	    18.50000    	    2.090539    
   -121.2500    	    40.05236    	    18.50000    	  -0.7691757    
   -120.0000    	    40.05236    	    18.50000    	   -1.731034    
   -122.5000    	    40.99477    	    18.50000    	    2.668946    
   -121.2500    	    40.99477    	    18.50000    	   0.5995520    
   -120.0000    	    40.99477    	    18.50000    	   -1.753429    
   -122.5000    	    41.93717    	    18.50000    	    3.177265    
   -121.2500    	    41.93717    	    18.50000    	    1.147391    
   -120.0000    	    41.93717    	    18.50000    	   -1.221773    
   -122.5000    	    42.87958    	    18.50000    	    3.287417    
   -121.2500    	    42.87958    	    18.50000    	    2.642652    
   -120.0000    	    42.87958    	    18.50000    	   0.8194614    
   -122.5000    	    37.22513    	    19.50000    	   -1.797911    
   -121.2500    	    37.22513    	    19.50000    	   -1.642579    
   -120.0000    	    37.22513    	    19.50000    	   -1.375932    
   -122.5000    	    38.16754    	    19.50000    	  -0.6898571    
   -121.2500    	    38.16754    	    19.50000    	   -1.117304    
   -120.0000    	    38.16754    	    19.50000    	   -1.354100    
   -122.5000    	    39.10995    	    19.50000    	   0.7530268    
   -121.2500    	    39.10995    	    19.50000    	  -0.9139786    
   -120.0000    	    39.10995    	    19.50000    	   -1.281692    
   -122.5000    	    40.05236    	    19.50000    	  -9.0342108E-03
   -121.2500    	    40.05236    	    19.50000    	  -0.7627819    
   -120.0000    	    40.05236    	    19.50000    	   -1.250471    
   -122.5000    	    40.99477    	    19.50000    	  -7.6171249E-02
   -121.2500    	    40.99477    	    19.50000    	   0.3466828    
   -120.0000    	    40.99477    	    19.50000    	   -1.411883    
   -122.5000    	    41.93717    	    19.50000    	   0.0000000E+00
   -121.2500    	    41.93717    	    19.50000    	   0.8554890    
   -120.0000    	    41.93717    	    19.50000    	   -1.057164    
   -122.5000    	    42.87958    	    19.50000    	    3.127109    
   -121.2500    	    42.87958    	    19.50000    	  -6.6505194E-02
   -120.0000    	    42.87958    	    19.50000    	   0.7466368    
   -122.5000    	    37.22513    	    29.50000    	   -1.927539    
   -121.2500    	    37.22513    	    29.50000    	    1.245470    
   -120.0000    	    37.22513    	    29.50000    	    1.538972    
   -122.5000    	    38.16754    	    29.50000    	  -0.9645444    
   -121.2500    	    38.16754    	    29.50000    	    1.733578    
   -120.0000    	    38.16754    	    29.50000    	    1.630184    
   -122.5000    	    39.10995    	    29.50000    	    1.900558    
   -121.2500    	    39.10995    	    29.50000    	    2.138692    
   -120.0000    	    39.10995    	    29.50000    	    1.443045    
