lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi CCSM4 r6i1p1 pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -122.5000    	    37.22513    	    5.500000    	   -3.000736    
   -121.2500    	    37.22513    	    5.500000    	   -3.197381    
   -120.0000    	    37.22513    	    5.500000    	   -2.942899    
   -122.5000    	    38.16754    	    5.500000    	   -2.912689    
   -121.2500    	    38.16754    	    5.500000    	   -2.814161    
   -120.0000    	    38.16754    	    5.500000    	   -2.895314    
   -122.5000    	    39.10995    	    5.500000    	   -2.516582    
   -121.2500    	    39.10995    	    5.500000    	   -2.203589    
   -120.0000    	    39.10995    	    5.500000    	   -2.037586    
   -122.5000    	    40.05236    	    5.500000    	   0.7754492    
   -121.2500    	    40.05236    	    5.500000    	   -1.648777    
   -120.0000    	    40.05236    	    5.500000    	   -1.407803    
   -122.5000    	    40.99477    	    5.500000    	    1.686887    
   -121.2500    	    40.99477    	    5.500000    	   0.3935325    
   -120.0000    	    40.99477    	    5.500000    	  -0.8380364    
   -122.5000    	    41.93717    	    5.500000    	    1.969316    
   -121.2500    	    41.93717    	    5.500000    	    1.072920    
   -120.0000    	    41.93717    	    5.500000    	   0.6989633    
   -122.5000    	    42.87958    	    5.500000    	    1.524087    
   -121.2500    	    42.87958    	    5.500000    	   0.8017984    
   -120.0000    	    42.87958    	    5.500000    	   0.6952212    
   -122.5000    	    37.22513    	    6.500000    	   -2.930186    
   -121.2500    	    37.22513    	    6.500000    	   -3.094921    
   -120.0000    	    37.22513    	    6.500000    	   -2.846904    
   -122.5000    	    38.16754    	    6.500000    	   -2.779345    
   -121.2500    	    38.16754    	    6.500000    	   -2.796386    
   -120.0000    	    38.16754    	    6.500000    	   -3.032412    
   -122.5000    	    39.10995    	    6.500000    	   -2.410415    
   -121.2500    	    39.10995    	    6.500000    	   -2.359532    
   -120.0000    	    39.10995    	    6.500000    	   -2.346832    
   -122.5000    	    40.05236    	    6.500000    	   0.6923944    
   -121.2500    	    40.05236    	    6.500000    	   -1.809662    
   -120.0000    	    40.05236    	    6.500000    	   -1.679435    
   -122.5000    	    40.99477    	    6.500000    	    2.172817    
   -121.2500    	    40.99477    	    6.500000    	   0.2891338    
   -120.0000    	    40.99477    	    6.500000    	   -1.078624    
   -122.5000    	    41.93717    	    6.500000    	    2.522678    
   -121.2500    	    41.93717    	    6.500000    	    1.309624    
   -120.0000    	    41.93717    	    6.500000    	   0.6659611    
   -122.5000    	    42.87958    	    6.500000    	    1.559967    
   -121.2500    	    42.87958    	    6.500000    	   0.7655232    
   -120.0000    	    42.87958    	    6.500000    	   0.6622640    
   -122.5000    	    37.22513    	    7.500000    	   9.4690867E-02
   -121.2500    	    37.22513    	    7.500000    	   0.1997776    
   -120.0000    	    37.22513    	    7.500000    	   0.9027303    
   -122.5000    	    38.16754    	    7.500000    	   0.2878831    
   -121.2500    	    38.16754    	    7.500000    	   0.6464484    
   -120.0000    	    38.16754    	    7.500000    	    1.492719    
   -122.5000    	    39.10995    	    7.500000    	   9.8073319E-02
   -121.2500    	    39.10995    	    7.500000    	   0.8121961    
   -120.0000    	    39.10995    	    7.500000    	   0.9495375    
   -122.5000    	    40.05236    	    7.500000    	   0.7756051    
   -121.2500    	    40.05236    	    7.500000    	   0.5230491    
   -120.0000    	    40.05236    	    7.500000    	   0.5515775    
   -122.5000    	    40.99477    	    7.500000    	    2.010006    
   -121.2500    	    40.99477    	    7.500000    	   0.4368891    
   -120.0000    	    40.99477    	    7.500000    	   0.1733934    
   -122.5000    	    41.93717    	    7.500000    	    2.225693    
   -121.2500    	    41.93717    	    7.500000    	    1.051314    
   -120.0000    	    41.93717    	    7.500000    	  -0.3337832    
   -122.5000    	    42.87958    	    7.500000    	    1.169394    
   -121.2500    	    42.87958    	    7.500000    	   0.4227804    
   -120.0000    	    42.87958    	    7.500000    	  -0.4864572    
   -122.5000    	    37.22513    	    17.50000    	    2.179880    
   -121.2500    	    37.22513    	    17.50000    	    1.855761    
   -120.0000    	    37.22513    	    17.50000    	    1.587502    
   -122.5000    	    38.16754    	    17.50000    	    1.731692    
   -121.2500    	    38.16754    	    17.50000    	    1.517965    
   -120.0000    	    38.16754    	    17.50000    	    1.843662    
   -122.5000    	    39.10995    	    17.50000    	   0.9754162    
   -121.2500    	    39.10995    	    17.50000    	    1.372680    
   -120.0000    	    39.10995    	    17.50000    	   0.1945345    
   -122.5000    	    40.05236    	    17.50000    	  -0.4315046    
   -121.2500    	    40.05236    	    17.50000    	   0.5677159    
   -120.0000    	    40.05236    	    17.50000    	  -0.4901832    
   -122.5000    	    40.99477    	    17.50000    	  -0.4194270    
   -121.2500    	    40.99477    	    17.50000    	  -0.6225563    
   -120.0000    	    40.99477    	    17.50000    	  -0.8039399    
   -122.5000    	    41.93717    	    17.50000    	  -0.1950176    
   -121.2500    	    41.93717    	    17.50000    	  -0.8846397    
   -120.0000    	    41.93717    	    17.50000    	   -1.138662    
   -122.5000    	    42.87958    	    17.50000    	  -7.6782465E-02
   -121.2500    	    42.87958    	    17.50000    	  -0.8056411    
   -120.0000    	    42.87958    	    17.50000    	   -1.096437    
   -122.5000    	    37.22513    	    18.50000    	    2.121171    
   -121.2500    	    37.22513    	    18.50000    	    1.846891    
   -120.0000    	    37.22513    	    18.50000    	    1.472211    
   -122.5000    	    38.16754    	    18.50000    	    1.926334    
   -121.2500    	    38.16754    	    18.50000    	    1.647493    
   -120.0000    	    38.16754    	    18.50000    	    1.646580    
   -122.5000    	    39.10995    	    18.50000    	    1.117792    
   -121.2500    	    39.10995    	    18.50000    	    1.384861    
   -120.0000    	    39.10995    	    18.50000    	  -0.3203942    
   -122.5000    	    40.05236    	    18.50000    	  -0.4540704    
   -121.2500    	    40.05236    	    18.50000    	   0.3677492    
   -120.0000    	    40.05236    	    18.50000    	  -0.7472751    
   -122.5000    	    40.99477    	    18.50000    	  -0.5316452    
   -121.2500    	    40.99477    	    18.50000    	  -0.9064113    
   -120.0000    	    40.99477    	    18.50000    	   -1.153738    
   -122.5000    	    41.93717    	    18.50000    	  -0.3527544    
   -121.2500    	    41.93717    	    18.50000    	   -1.250696    
   -120.0000    	    41.93717    	    18.50000    	   -1.603699    
   -122.5000    	    42.87958    	    18.50000    	  -0.2207416    
   -121.2500    	    42.87958    	    18.50000    	   -1.109208    
   -120.0000    	    42.87958    	    18.50000    	   -1.556374    
   -122.5000    	    37.22513    	    19.50000    	   0.0000000E+00
   -121.2500    	    37.22513    	    19.50000    	    1.624886    
   -120.0000    	    37.22513    	    19.50000    	    1.237546    
   -122.5000    	    38.16754    	    19.50000    	  -1.5388868E-03
   -121.2500    	    38.16754    	    19.50000    	  -4.2315625E-02
   -120.0000    	    38.16754    	    19.50000    	    1.362395    
   -122.5000    	    39.10995    	    19.50000    	  -2.0761866E-02
   -121.2500    	    39.10995    	    19.50000    	  -7.8860447E-02
   -120.0000    	    39.10995    	    19.50000    	  -0.4606432    
   -122.5000    	    40.05236    	    19.50000    	  -0.4731410    
   -121.2500    	    40.05236    	    19.50000    	  -0.4199056    
   -120.0000    	    40.05236    	    19.50000    	  -0.9052856    
   -122.5000    	    40.99477    	    19.50000    	  -0.5928507    
   -121.2500    	    40.99477    	    19.50000    	   -1.033205    
   -120.0000    	    40.99477    	    19.50000    	   -1.315660    
   -122.5000    	    41.93717    	    19.50000    	  -0.4606379    
   -121.2500    	    41.93717    	    19.50000    	   -1.391667    
