lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi CCSM4 r2i1p1 pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -122.5000    	    37.22513    	    5.500000    	    2.725684    
   -121.2500    	    37.22513    	    5.500000    	    2.365194    
   -120.0000    	    37.22513    	    5.500000    	    1.411217    
   -122.5000    	    38.16754    	    5.500000    	    2.156401    
   -121.2500    	    38.16754    	    5.500000    	    1.942676    
   -120.0000    	    38.16754    	    5.500000    	  -0.1188363    
   -122.5000    	    39.10995    	    5.500000    	    1.328106    
   -121.2500    	    39.10995    	    5.500000    	  -4.7888801E-02
   -120.0000    	    39.10995    	    5.500000    	  -0.3727933    
   -122.5000    	    40.05236    	    5.500000    	   0.6126305    
   -121.2500    	    40.05236    	    5.500000    	  -0.2456413    
   -120.0000    	    40.05236    	    5.500000    	  -0.4520820    
   -122.5000    	    40.99477    	    5.500000    	  -0.4189372    
   -121.2500    	    40.99477    	    5.500000    	   0.3018536    
   -120.0000    	    40.99477    	    5.500000    	  -0.5919923    
   -122.5000    	    41.93717    	    5.500000    	  -0.4766641    
   -121.2500    	    41.93717    	    5.500000    	  -0.4677652    
   -120.0000    	    41.93717    	    5.500000    	  -0.8394138    
   -122.5000    	    42.87958    	    5.500000    	  -0.3981757    
   -121.2500    	    42.87958    	    5.500000    	  -0.4445482    
   -120.0000    	    42.87958    	    5.500000    	  -0.5968397    
   -122.5000    	    37.22513    	    6.500000    	    2.632710    
   -121.2500    	    37.22513    	    6.500000    	  -2.7624447E-02
   -120.0000    	    37.22513    	    6.500000    	  -0.2104501    
   -122.5000    	    38.16754    	    6.500000    	  -0.1402162    
   -121.2500    	    38.16754    	    6.500000    	  -0.2453055    
   -120.0000    	    38.16754    	    6.500000    	  -0.4869007    
   -122.5000    	    39.10995    	    6.500000    	  -0.1329334    
   -121.2500    	    39.10995    	    6.500000    	  -0.4629501    
   -120.0000    	    39.10995    	    6.500000    	  -0.8510092    
   -122.5000    	    40.05236    	    6.500000    	  -0.5491217    
   -121.2500    	    40.05236    	    6.500000    	  -0.7434471    
   -120.0000    	    40.05236    	    6.500000    	  -0.9450727    
   -122.5000    	    40.99477    	    6.500000    	  -0.9733664    
   -121.2500    	    40.99477    	    6.500000    	  -0.7769489    
   -120.0000    	    40.99477    	    6.500000    	   -1.075684    
   -122.5000    	    41.93717    	    6.500000    	   -1.063089    
   -121.2500    	    41.93717    	    6.500000    	  -0.9650409    
   -120.0000    	    41.93717    	    6.500000    	   -1.433759    
   -122.5000    	    42.87958    	    6.500000    	   -1.094134    
   -121.2500    	    42.87958    	    6.500000    	   -1.113153    
   -120.0000    	    42.87958    	    6.500000    	   -1.359781    
   -122.5000    	    37.22513    	    7.500000    	  -0.1813949    
   -121.2500    	    37.22513    	    7.500000    	  -4.2699892E-02
   -120.0000    	    37.22513    	    7.500000    	  -0.2366448    
   -122.5000    	    38.16754    	    7.500000    	  -0.1997734    
   -121.2500    	    38.16754    	    7.500000    	  -0.2500167    
   -120.0000    	    38.16754    	    7.500000    	  -0.5284716    
   -122.5000    	    39.10995    	    7.500000    	  -0.1547668    
   -121.2500    	    39.10995    	    7.500000    	  -0.4747239    
   -120.0000    	    39.10995    	    7.500000    	  -0.9012556    
   -122.5000    	    40.05236    	    7.500000    	  -0.5686530    
   -121.2500    	    40.05236    	    7.500000    	  -0.8040456    
