lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi CCSM4 r4i1p1 pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -122.5000    	    37.22513    	    5.500000    	   -3.329172    
   -121.2500    	    37.22513    	    5.500000    	   -2.928519    
   -120.0000    	    37.22513    	    5.500000    	   -2.253531    
   -122.5000    	    38.16754    	    5.500000    	   -3.405715    
   -121.2500    	    38.16754    	    5.500000    	   -2.912195    
   -120.0000    	    38.16754    	    5.500000    	   -2.158737    
   -122.5000    	    39.10995    	    5.500000    	   -3.135946    
   -121.2500    	    39.10995    	    5.500000    	   -2.762001    
   -120.0000    	    39.10995    	    5.500000    	   -2.383208    
   -122.5000    	    40.05236    	    5.500000    	   -2.212247    
   -121.2500    	    40.05236    	    5.500000    	   -2.617425    
   -120.0000    	    40.05236    	    5.500000    	   -2.197260    
   -122.5000    	    40.99477    	    5.500000    	   -1.663284    
   -121.2500    	    40.99477    	    5.500000    	   -2.254758    
   -120.0000    	    40.99477    	    5.500000    	   -2.135367    
   -122.5000    	    41.93717    	    5.500000    	   -1.324828    
   -121.2500    	    41.93717    	    5.500000    	   -1.912184    
   -120.0000    	    41.93717    	    5.500000    	   -2.084091    
   -122.5000    	    42.87958    	    5.500000    	  -0.9462556    
   -121.2500    	    42.87958    	    5.500000    	   -1.414871    
   -120.0000    	    42.87958    	    5.500000    	   -1.414855    
   -122.5000    	    37.22513    	    6.500000    	   -3.241168    
   -121.2500    	    37.22513    	    6.500000    	   -2.772403    
   -120.0000    	    37.22513    	    6.500000    	   -2.138203    
   -122.5000    	    38.16754    	    6.500000    	   -3.250387    
   -121.2500    	    38.16754    	    6.500000    	   -2.772810    
   -120.0000    	    38.16754    	    6.500000    	   -2.149727    
   -122.5000    	    39.10995    	    6.500000    	   -2.932909    
   -121.2500    	    39.10995    	    6.500000    	   -2.653708    
   -120.0000    	    39.10995    	    6.500000    	   -2.481044    
   -122.5000    	    40.05236    	    6.500000    	   -2.194436    
   -121.2500    	    40.05236    	    6.500000    	   -2.707942    
   -120.0000    	    40.05236    	    6.500000    	   -2.362363    
   -122.5000    	    40.99477    	    6.500000    	   -1.836699    
   -121.2500    	    40.99477    	    6.500000    	   -2.522174    
   -120.0000    	    40.99477    	    6.500000    	   -2.464647    
   -122.5000    	    41.93717    	    6.500000    	   -1.515751    
   -121.2500    	    41.93717    	    6.500000    	   -2.180361    
   -120.0000    	    41.93717    	    6.500000    	   -2.411781    
   -122.5000    	    42.87958    	    6.500000    	  -0.9673137    
   -121.2500    	    42.87958    	    6.500000    	   -1.541491    
   -120.0000    	    42.87958    	    6.500000    	   -1.547968    
   -122.5000    	    37.22513    	    7.500000    	   -2.724329    
   -121.2500    	    37.22513    	    7.500000    	   -2.521364    
   -120.0000    	    37.22513    	    7.500000    	   -2.023705    
   -122.5000    	    38.16754    	    7.500000    	   -2.816793    
   -121.2500    	    38.16754    	    7.500000    	   -2.542443    
   -120.0000    	    38.16754    	    7.500000    	   -2.075350    
   -122.5000    	    39.10995    	    7.500000    	   -2.601545    
   -121.2500    	    39.10995    	    7.500000    	   -2.467530    
   -120.0000    	    39.10995    	    7.500000    	   -2.308762    
   -122.5000    	    40.05236    	    7.500000    	   -2.034063    
   -121.2500    	    40.05236    	    7.500000    	   -2.569327    
   -120.0000    	    40.05236    	    7.500000    	   -2.166817    
   -122.5000    	    40.99477    	    7.500000    	   -1.783146    
   -121.2500    	    40.99477    	    7.500000    	   -2.402136    
   -120.0000    	    40.99477    	    7.500000    	   -2.176415    
   -122.5000    	    41.93717    	    7.500000    	   -1.489248    
   -121.2500    	    41.93717    	    7.500000    	   -1.949309    
   -120.0000    	    41.93717    	    7.500000    	   -2.004766    
   -122.5000    	    42.87958    	    7.500000    	  -0.9263832    
   -121.2500    	    42.87958    	    7.500000    	   -1.222781    
   -120.0000    	    42.87958    	    7.500000    	   -1.224902    
   -122.5000    	    37.22513    	    17.50000    	   -4.482351    
   -121.2500    	    37.22513    	    17.50000    	   -4.764781    
   -120.0000    	    37.22513    	    17.50000    	   -3.875841    
   -122.5000    	    38.16754    	    17.50000    	   -5.433000    
   -121.2500    	    38.16754    	    17.50000    	   -5.003524    
   -120.0000    	    38.16754    	    17.50000    	   -3.787924    
   -122.5000    	    39.10995    	    17.50000    	   -5.197184    
   -121.2500    	    39.10995    	    17.50000    	   -4.389598    
   -120.0000    	    39.10995    	    17.50000    	   -3.476493    
   -122.5000    	    40.05236    	    17.50000    	   -3.536083    
   -121.2500    	    40.05236    	    17.50000    	   -3.351796    
   -120.0000    	    40.05236    	    17.50000    	   -2.545415    
   -122.5000    	    40.99477    	    17.50000    	   -3.273162    
   -121.2500    	    40.99477    	    17.50000    	   -3.372479    
   -120.0000    	    40.99477    	    17.50000    	   -3.709978    
   -122.5000    	    41.93717    	    17.50000    	   -2.973997    
   -121.2500    	    41.93717    	    17.50000    	   -3.239823    
   -120.0000    	    41.93717    	    17.50000    	   -4.032846    
   -122.5000    	    42.87958    	    17.50000    	   -2.658154    
   -121.2500    	    42.87958    	    17.50000    	   -2.889123    
   -120.0000    	    42.87958    	    17.50000    	   -3.207617    
   -122.5000    	    37.22513    	    18.50000    	   -4.153865    
   -121.2500    	    37.22513    	    18.50000    	   -4.412369    
   -120.0000    	    37.22513    	    18.50000    	   -3.651996    
   -122.5000    	    38.16754    	    18.50000    	   -4.973452    
   -121.2500    	    38.16754    	    18.50000    	   -4.659086    
   -120.0000    	    38.16754    	    18.50000    	   -3.726014    
   -122.5000    	    39.10995    	    18.50000    	   -4.748350    
   -121.2500    	    39.10995    	    18.50000    	   -4.249526    
   -120.0000    	    39.10995    	    18.50000    	   -3.487095    
   -122.5000    	    40.05236    	    18.50000    	   -3.421836    
   -121.2500    	    40.05236    	    18.50000    	   -3.270263    
   -120.0000    	    40.05236    	    18.50000    	   -2.326038    
   -122.5000    	    40.99477    	    18.50000    	   -3.301772    
   -121.2500    	    40.99477    	    18.50000    	   -3.379283    
   -120.0000    	    40.99477    	    18.50000    	   -3.865005    
   -122.5000    	    41.93717    	    18.50000    	   -2.970713    
   -121.2500    	    41.93717    	    18.50000    	   -3.360744    
   -120.0000    	    41.93717    	    18.50000    	   -4.342423    
   -122.5000    	    42.87958    	    18.50000    	   -2.690765    
   -121.2500    	    42.87958    	    18.50000    	   -3.061661    
   -120.0000    	    42.87958    	    18.50000    	   -3.576832    
   -122.5000    	    37.22513    	    19.50000    	   -3.749188    
   -121.2500    	    37.22513    	    19.50000    	   -3.910991    
   -120.0000    	    37.22513    	    19.50000    	   -3.147027    
   -122.5000    	    38.16754    	    19.50000    	   -4.511166    
   -121.2500    	    38.16754    	    19.50000    	   -4.123092    
   -120.0000    	    38.16754    	    19.50000    	   -3.255005    
   -122.5000    	    39.10995    	    19.50000    	   -4.297060    
   -121.2500    	    39.10995    	    19.50000    	   -3.835748    
   -120.0000    	    39.10995    	    19.50000    	   -3.093695    
   -122.5000    	    40.05236    	    19.50000    	   -3.152811    
   -121.2500    	    40.05236    	    19.50000    	   -3.061968    
   -120.0000    	    40.05236    	    19.50000    	   -2.148404    
   -122.5000    	    40.99477    	    19.50000    	   -3.122972    
   -121.2500    	    40.99477    	    19.50000    	   -3.264144    
   -120.0000    	    40.99477    	    19.50000    	   -3.692041    
   -122.5000    	    41.93717    	    19.50000    	   -2.920973    
   -121.2500    	    41.93717    	    19.50000    	   -3.350773    
   -120.0000    	    41.93717    	    19.50000    	   -4.290335    
   -122.5000    	    42.87958    	    19.50000    	   -2.736483    
   -121.2500    	    42.87958    	    19.50000    	   -3.178429    
   -120.0000    	    42.87958    	    19.50000    	   -3.752976    
   -122.5000    	    37.22513    	    29.50000    	   -6.651351    
   -121.2500    	    37.22513    	    29.50000    	   -6.075526    
   -120.0000    	    37.22513    	    29.50000    	   -5.864171    
   -122.5000    	    38.16754    	    29.50000    	   -7.439728    
